"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A3ZUACM5","forumPost","2022","Texas Military Dept. [@TXMilitary]","SETTING THE RECORD STRAIGHT ON OPERATION LONE STAR — a statement by @COLRitaHolton https://tmd.texas.gov/setting-the-record-straight-on-operation-lone-star #OperationLoneStar #OLS #TexansServingTexas","Twitter","","","","https://twitter.com/TXMilitary/status/1484683415584714760","","2022-01-22","2022-04-03 12:16:19","2022-04-03 12:16:19","2022-04-03 12:16:19","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://tmd.texas.gov/setting-the-record-straight-on-operation-lone-star","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQZINQHQ","forumPost","2022","Texas Military Dept. [@TXMilitary]","Why We're Here - #OperationLoneStar ""I never thought that I would be doing something like this, and I'm really enjoying being out doing what I'm doing...I'm proud."" Last year, @GovAbbott launched #OLS to deter criminal activity along the Texas-Mexico border. #TexansServingTexas https://t.co/Y12YHQgCH0","Twitter","","","","https://twitter.com/TXMilitary/status/1488645250486882304","","2022-02-01","2022-04-03 12:16:26","2022-04-03 12:16:26","2022-04-03 12:16:26","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/Y12YHQgCH0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N9TTKV4Q","forumPost","2021","Texas Military Dept. [@TXMilitary]","Watch as engineers with the @TXMilitary erect barriers along the southern border, #securingtexas under @GovAbbott #operationlonestar, to reduce Illegal border crossings, property damage, smuggling and human trafficking. @TDEM @TxDPS @GregAbbott_TX @chiefkidd @MGTracyNorris https://t.co/PTHMZSC6mA","Twitter","","","","https://twitter.com/TXMilitary/status/1423044589166923776","","2021-08-04","2022-04-03 12:16:42","2022-04-03 12:16:42","2022-04-03 12:16:42","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/PTHMZSC6mA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDKL2YST","forumPost","2022","Texas Military Dept. [@TXMilitary]","In addition to security patrols and barrier construction along the Texas-Mexico border, Texas Guardsmen continue to prepare for numerous missions, including potential water survival and the deployment and use of combat rubber raiding crafts. #OperationLoneStar #TexansServingTexas https://t.co/6bHLDY3u3L","Twitter","","","","https://twitter.com/TXMilitary/status/1492263024643747848","","2022-02-11","2022-04-03 12:16:49","2022-04-03 12:16:49","2022-04-03 12:16:49","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/6bHLDY3u3L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HBXEGTLR","forumPost","2021","Texas Military Dept. [@TXMilitary]","Day and night our @TexasGuard stands watch along the southern border, #SecuringTexas under @GovAbbott's #OperationLoneStar, utilizing state resources to reduce illegal border crossings, property damage, smuggling, and human trafficking. https://t.co/0qTS0RUHLt","Twitter","","","","https://twitter.com/TXMilitary/status/1422254002054500359","","2021-08-02","2022-04-03 12:16:57","2022-04-03 12:16:57","2022-04-03 12:16:57","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/0qTS0RUHLt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJNWJYI6","forumPost","2021","Texas Military Dept. [@TXMilitary]","@TXMilitary is constructing fencing along the southern border under @GovAbbott's #OperationLoneStar, to help reduce illegal border crossings, property damage, smuggling, and human trafficking. This Fence is in addition to the Governor’s plan to build a border wall. #Securingtexas https://t.co/KzyCOCIjd7","Twitter","","","","https://twitter.com/TXMilitary/status/1420504511857233928","","2021-07-28","2022-04-03 12:17:06","2022-04-03 12:17:06","2022-04-03 12:17:06","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/KzyCOCIjd7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5QZ3P4D","forumPost","2022","Texas Military Dept. [@TXMilitary]","In places like #EaglePass, along the Texas-Mexico border, @GovAbbott's #OperationLoneStar is helping county law enforcement and local property owners keep their community safe. This supports @TxDPS @TxDPSSouth efforts and benefits @CBP with #BorderSecurity. #TexansServingTexas https://t.co/qEyutUn0Nm","Twitter","","","","https://twitter.com/TXMilitary/status/1483947582774775811","","2022-01-19","2022-04-03 12:17:13","2022-04-03 12:17:13","2022-04-03 12:17:13","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/qEyutUn0Nm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97G23FT7","forumPost","2022","Texas Military Dept. [@TXMilitary]","Members of the #Texas Military Department remain on-duty in support of #OperationLoneStar along the Texas-Mexico border. This Texas Air National Guard Airman, who's also a @TAMU student, describes his experience and why he's serving. #TexansServingTexas https://t.co/ifipzir2q8","Twitter","","","","https://twitter.com/TXMilitary/status/1481359786713227265","","2022-01-12","2022-04-03 12:17:23","2022-04-03 12:17:23","2022-04-03 12:17:23","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/ifipzir2q8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGD2PRAB","forumPost","2022","Texas Military Dept. [@TXMilitary]","At this time last year, Gov. Greg Abbott launched #OperationLoneStar along Texas-Mexico border. ""Right now, with the unprecedented crisis at the border, your service is more vital than ever to the safety and security of #Texas,"" said @GovAbbott. More: https://gov.texas.gov/news/post/governor-abbott-dps-texas-national-guard-mark-one-year-anniversary-of-operation-lone-star https://t.co/uLToQLIp5c","Twitter","","","","https://twitter.com/TXMilitary/status/1499882164141400064","","2022-03-04","2022-04-03 12:19:23","2022-04-03 12:19:23","2022-04-03 12:19:23","","","","","","","","","","","","","","en","","Tweet","","","","","","","; ","https://gov.texas.gov/news/post/governor-abbott-dps-texas-national-guard-mark-one-year-anniversary-of-operation-lone-star; https://t.co/uLToQLIp5c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8HVRH64","forumPost","2021","Texas Military Dept. [@TXMilitary]","@MGTracyNorris joined her fellow #Texas @NationalGuard engineers near Del Rio for a briefing on steps being taken to secure Texas’ southern border. #OperationLoneStar, ordered by @GovAbbott, brings together state resources to accomplish this mission. #SecuringTexas https://t.co/dDL3zNisfS","Twitter","","","","https://twitter.com/TXMilitary/status/1421130385178648579","","2021-07-30","2022-04-03 12:19:33","2022-04-03 12:19:33","2022-04-03 12:19:33","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/dDL3zNisfS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
